Wall time,Step,Value
1662553509.3129485,775,4.6440814912784845e-05
1662553510.9329,778,4.630682087736204e-05
1662553511.4559364,779,4.627182352123782e-05
1662553512.7826831,781,4.6200664655771106e-05
1662553515.6260452,786,4.600780812324956e-05
1662553516.1789296,787,4.5970802602823824e-05
1662553517.8591292,790,4.585352508001961e-05
1662553518.4018164,791,4.581742541631684e-05
1662553518.9344878,792,4.5782300730934367e-05
1662553525.162952,803,4.5384102122625336e-05
1662553526.2715206,805,4.531347076408565e-05
1662553528.9788117,810,4.513905514613725e-05
1662553529.467961,811,4.510422149905935e-05
1662553530.0915568,812,4.506960613070987e-05
1662553530.69388,813,4.5035252696834505e-05
1662553532.3147948,816,4.493297456065193e-05
1662553535.3099945,822,4.472988439374603e-05
1662553536.3862562,824,4.466315294848755e-05
1662553538.0162401,827,4.456369788385928e-05
1662553540.4272537,832,4.439916665432975e-05
1662553540.8977716,833,4.4366508518578485e-05
1662553541.4188805,834,4.4333934056339785e-05
1662553543.023016,837,4.4236738176550716e-05
1662553543.5515444,838,4.420457480591722e-05
1662553544.1467698,839,4.417256059241481e-05
1662553549.3422134,850,4.403794082463719e-05
1662553550.839838,855,4.84081101603806e-05
1662553552.7140503,861,0.00016613381740171462
1662553553.2926712,863,0.00014336631284095347
1662553554.821289,868,8.033961785258725e-05
1662553555.7147887,871,8.142361912177876e-05
1662553556.6316586,874,5.2362142014317214e-05
1662553557.2102864,876,5.648014121106826e-05
1662553558.4338515,880,4.759073999593966e-05
1662553560.0603094,885,4.6028868382563815e-05
1662553560.34657,886,5.013169356971048e-05
1662553560.6304991,887,4.6524761273758486e-05
1662553560.91371,888,4.3571511923801154e-05
1662553561.713543,890,4.77378889627289e-05
1662553565.803327,901,4.417400487000123e-05
1662553566.390023,903,4.2643379856599495e-05
1662553567.269616,905,4.331135642132722e-05
1662553569.3658051,910,4.2343424865975976e-05
1662553571.3413043,915,4.2244981159456074e-05
1662553572.2670069,918,4.203363641863689e-05
1662553573.1244535,920,4.216326487949118e-05
1662553575.152203,926,4.179565075901337e-05
1662553575.6900766,927,4.1789062379393727e-05
1662553576.1919546,928,4.1816885641310364e-05
1662553579.1009886,934,4.157081275479868e-05
1662553579.636119,935,4.154029011260718e-05
1662553580.4768121,937,4.1517494537401944e-05
1662553581.5253992,939,4.142400939599611e-05
1662553582.6254086,941,4.13943525927607e-05
1662553583.7062268,943,4.131515743210912e-05
1662553584.9027226,945,4.127987631363794e-05
1662553585.8734412,947,4.12145527661778e-05
